1024	Hz

N	L - Deltoid(uV)	L - Tricep(uV)	L - Bicep(uV)	L - Flex(uV)	L - Ex(uV)	R - Deltoid(uV)	R - Tricep(uV)	R - Bicep(uV)	R - Flex(uV)	R - Ex(uV)
1	18.65663717772	3.86486615104	-0.97069435693	-4.89178243967	-5.86894460610	-16.84460697228	2.78023577890	-1.86576308091	1.11846279883	-2.71953643715
2	16.49036141893	2.80610783516	0.21792114119	-6.90581139187	-4.46390042545	-22.20009425232	5.66097425185	4.89775241065	-0.91347763464	-4.20518122659
3	8.19244160178	0.14329060568	0.19403936505	-7.29588004412	-2.38419661017	-11.74883525001	5.04203816491	0.54132008862	0.52340874374	-4.89178243967
4	5.64107271207	-2.73844270902	-1.67421151061	-7.20035287138	-1.23190124827	4.75645218738	5.95551573136	-5.88586061489	-2.08169407835	-5.94954576038
5	9.73679574263	-4.15940790330	-3.40165935375	-5.26593007829	-1.60604888689	12.45235247188	2.88471845361	-10.08208633950	-3.70167412491	-5.80824499161
6	12.49314945560	-6.76252063277	-8.25214622111	-1.44086673406	-1.68565477325	11.34582947864	0.02189162173	-11.33687452216	-4.63505295838	-4.60022540015
7	13.42055913634	-10.09999734345	-11.04382553540	1.01099486588	-3.15637368060	15.58285382347	-0.99905396929	-10.60748524403	-3.61808798514	-3.58823567548
8	11.38065758237	-10.90600779520	-10.47364748449	-1.20204893860	-2.42996993346	26.23412321872	1.33936918122	-2.57027516157	-2.39414738006	-4.72460961463
9	10.96471687387	-6.84809676287	-8.50091465009	-2.59913247607	-2.80212758176	13.68624357410	1.12940863207	4.46091516720	-3.08870855445	-3.18921124851
10	10.91297276135	-4.88979190384	-8.20836261540	1.18612778860	-2.43195992379	-19.26960220267	-0.90452199629	8.17652058816	-1.47668928746	-0.73933970708
11	9.71987973385	-3.84496461126	-9.98606166919	5.83113151688	0.31842357954	-34.67632769913	-3.09865932434	8.23821519782	2.18717188460	-3.01507318458
12	4.51763452830	-5.08084624931	-9.78605236725	7.04114109866	2.38618660050	-20.31443004075	-4.35245223909	5.87292458676	8.12577147080	-4.78729921946
13	1.73142823291	-3.37927032606	-9.28951050447	6.14557508167	0.91546776134	-2.30061019766	-7.31578158390	3.89372319279	12.77873597863	-4.07283650529
14	0.77814758691	-1.67172374995	-13.36881502382	6.61922987367	-1.85879756927	-1.09358594230	-9.19050084866	1.87571385080	13.73798659562	-4.01014690046
15	-1.59908337524	-1.74336912950	-12.41702687056	7.04114109866	-5.28583161807	1.70058092808	-9.90496301733	2.05283703660	11.66226303375	-3.19020624367
16	-1.04184210253	-1.48863018405	-8.76709658542	2.06975318176	-7.00133856461	10.81247061279	-7.29389005379	0.68262055055	11.08711109803	-2.58719144311
17	1.42793070593	-1.32543815792	-5.26145205455	-0.06766501108	-3.75142770160	15.10720904113	-4.64997952234	2.13642317637	8.72878599861	0.11542854204
18	-2.03990100847	-0.22488665284	-2.26628027338	4.52559503511	8.82232318102	16.57693254419	-2.67674809936	2.66679732947	7.20234340721	-1.80804886103
19	-3.72754590842	-1.72943810621	-0.99955153506	1.67570400336	5.88287562940	12.66330781162	1.43688634428	3.96735883542	4.94949652317	0.30051223465
20	-0.96422641106	-3.64196977833	-0.18956152883	0.21891620454	2.50161531301	4.97437303877	4.33653095272	3.66087605019	1.28762534144	1.15926087355
21	-3.08771355929	-3.68973309194	-0.67814273138	-0.44181269658	1.71948733632	-7.22323994216	6.15552557880	2.36927031896	1.71948733632	-0.04975368324
22	-2.11353651472	-4.62311247092	-3.15139843203	2.53544760333	-1.90656115563	-7.32573262654	9.30393902534	-3.74844244336	2.10557587153	-1.19110317355
23	-2.45584171697	-7.11079621513	1.58714247865	2.06577292835	-4.75446219705	1.11746773548	13.38175105195	-3.72058039677	-2.32847251700	-0.48758608805
24	-6.26299378450	-10.09004739181	7.46354982123	-2.42797967038	-4.68082655442	-2.38021635677	15.29428231494	-1.08463030395	-6.27692480780	1.22195047838
25	-11.18263827076	-8.79645112476	7.53917545419	-5.79132898282	-5.69779180042	-10.08109134434	12.15780990137	1.13537908037	-8.51982064920	-0.12139899034
26	-12.63544576504	-7.38941722652	5.56892956219	-10.31692374518	-6.09383096914	-7.06900314525	8.40936745801	-2.17324086130	-6.56947629698	-0.10846303039
27	-16.22169090468	-8.30090480264	2.15831484285	-8.61733781226	-7.52872745947	-0.50052204800	1.56724107525	-7.79441189723	-5.46892491122	0.28558614800
28	-12.28318911102	-8.98551547990	-1.38912289429	-2.13343791812	-3.84098435785	7.19637289073	-0.70550721220	-4.90471792230	-7.29190006346	0.82790129998
29	-8.32976184440	-6.47394912425	-4.86740287615	1.15826574201	-5.45897441408	10.29503276057	-4.64102347487	1.49062031075	-8.02427432708	1.75630502126
30	-3.15239342719	-5.89282612654	-4.20816648483	0.83984219657	-9.12880569350	5.98536831378	-8.71883550148	1.26374354826	-3.83501384137	1.69162528973
31	-2.04388126187	-4.10169354704	-5.46792991606	0.42987183408	-7.87700304183	-5.68585076745	-9.99452021908	0.17015760596	-0.48559596135	-0.40399991419
32	-5.45001836661	-1.80705372949	-4.99775760712	7.13268829074	-0.00995073686	-2.70759540419	-8.90192934013	-0.67665010226	0.65077818237	-0.04179309545
33	-5.23607749587	1.76526065961	-3.87829967675	9.98257918611	2.92153627492	4.59325988850	-9.20244079062	1.81700449938	4.20916175274	1.17319189685
34	-5.30075763653	0.99905396929	-5.81073247952	8.82829369750	-0.00796058938	4.34548672744	-7.43220529157	2.19115227438	6.55156529303	1.23588150167
35	-5.86794961094	-1.02094556759	-6.13064906321	8.11980095432	-2.55534914311	-4.15343738681	-8.53076668700	0.42290632243	3.98825537036	1.48265980394
