1024	Hz

N	L - Deltoid(uV)	L - Tricep(uV)	L - Bicep(uV)	L - Flex(uV)	L - Ex(uV)	R - Deltoid(uV)	R - Tricep(uV)	R - Bicep(uV)	R - Flex(uV)	R - Ex(uV)
1	0.33135953948	-1.67172374995	-1.31747751474	-8.13174198728	-3.17030470389	4.36240300898	2.89267923317	-2.42300442181	-6.90382140155	4.67286604761
2	0.10448273437	-0.85178309316	-1.81053648532	-4.76043271354	0.48758608805	3.69470861326	0.79307374174	-2.92253127009	-6.91377189869	4.54350631181
3	0.66669933237	-2.47773351983	-2.37673360094	-3.85690564423	1.19806868519	3.22702379223	-3.17826521070	-1.71152669314	-1.76327053291	2.70859067210
4	1.86775334399	-1.88864987893	-4.34598422503	-0.88760571475	2.84989089537	7.07795919273	-5.25100351433	0.95925102611	2.18717188460	0.62888658408
5	0.77217713861	-0.47166490396	-4.82610730385	1.81899462608	0.37215754601	8.97954496342	-4.29473788284	1.81003898774	8.25314121628	1.00502441759
6	1.00601948094	0.53534964033	-4.93556549988	4.54947682829	0.96920172781	7.99840227082	-4.65296450783	1.48464993064	9.83530790086	0.06766501108
7	1.91452179882	1.75132963632	-4.71465911750	4.87984140670	1.75531002610	7.88794907963	-5.48186093935	1.64087644512	5.70376231690	1.65182234655
8	1.45081736757	1.75132963632	-4.07184151013	4.34648172261	2.58321118970	5.17935840753	-5.64704322856	1.46176326900	5.97243228565	1.47071890735
9	0.33732998778	2.32449199084	-3.18075297136	4.82809729418	3.82904359764	3.97631433739	-3.69271835018	1.49261057383	10.15970250829	-1.23787162838
10	-1.16423625850	4.61714195444	-2.89665948657	5.95452073620	5.32165417147	3.79620602973	-2.33344776556	3.11259034764	9.11288467988	-0.46569448976
11	-0.52738903123	5.32165417147	-1.81600950422	6.70281601344	4.74053117376	-7.25408697423	-3.73451142007	0.28857137215	5.82317101007	0.15921178977
12	-2.88969397493	2.19314240108	-1.61749228590	4.63306296806	3.20413726697	-11.23736736878	-0.26966496391	-0.50748755964	9.00740701000	0.45972404147
13	-4.10268881496	-1.16622638520	-1.18612778860	6.73863911234	4.00019613057	-7.46205732849	0.71545798208	1.58614748349	11.07915004572	-0.16319207727
