1024	Hz

N	L - Deltoid(uV)	L - Tricep(uV)	L - Bicep(uV)	L - Flex(uV)	L - Ex(uV)	R - Deltoid(uV)	R - Tricep(uV)	R - Bicep(uV)	R - Flex(uV)	R - Ex(uV)
1	-30.81450926628	-8.46409655602	0.68461067725	-7.86904253502	5.13059982600	18.80888234779	-5.08781176095	-8.47106206767	-17.60583827765	-16.27343501721
2	-47.18857080644	-6.07392942936	-1.30056123320	2.03393062836	6.54360424072	17.13516847113	-3.00313242436	-7.73620031614	-25.48881292696	-19.90744428872
3	-65.97612185440	-2.09861035989	0.43385212158	5.37837325981	10.22239156761	3.54445234251	-0.38210828181	-5.36195474861	-30.53582552219	-10.78958354202
4	-68.31734111043	1.25180265167	1.15030509883	4.79028475045	5.85700357314	-2.12945766472	-3.33349673002	-2.99268415689	-17.19984861178	11.08711109803
5	-79.70061382811	1.05079780906	-3.05089601073	-1.65580259996	1.77819668774	-2.66082708573	-6.72669807938	-4.51265900698	-13.02750440761	14.84251850753
6	-77.23003210878	-3.64893528997	-9.72286471934	-2.04786165165	4.89576242032	2.53345761301	-7.13766326656	-5.10224028183	-13.13198762782	8.31682581627
7	-40.95822530074	-12.16577095368	-13.75490369541	0.08657140653	4.55146709137	15.82167120980	-4.82909228934	0.61396042924	-10.42339695572	-1.31747751474
8	-15.78373374618	-14.27532653312	-8.87605728387	2.56032466443	1.06074851077	19.12332482157	-1.94536896727	-0.21742359247	-7.69191975835	-16.77594685097
9	-18.89856283293	-6.85605781518	3.87581191609	4.63704349421	-0.01094581087	19.32632129101	-1.15926087355	-4.84252581505	-1.50156621218	-10.61146522469
10	-10.84648919196	-4.76938821551	11.34881555513	5.40424531607	-0.90153673804	24.85694081189	-2.94342780503	-7.30632858434	3.75739821809	-5.43907287431
11	11.16397992944	-15.96595750957	0.30051223465	3.28473814849	1.61699465194	20.03879456036	-12.04735671018	-15.04153390531	2.13642317637	-6.18239263023
12	15.54796353253	-14.60270612604	2.05084677352	5.98238278279	2.39514237523	26.69981586741	-21.55727500844	-17.21875461090	2.34837378402	-0.15722164602
13	16.45957548305	-12.68818487272	3.35538853288	6.92073741033	-0.28658121136	17.09536539157	-17.48145406316	-15.14551853694	6.10378201178	0.62391119913
14	31.47324843278	-14.99476476861	1.20503419684	7.88396855347	0.12637435824	-11.26622441053	-6.14557508167	-9.98755416193	5.18234393852	1.70157592325
15	49.49483867533	-1.38315237780	-1.98318178375	5.23906302686	5.71669834503	-54.10414504285	2.04089614001	3.14045239423	4.42509261380	10.24030366256
16	53.95594313164	25.83410243283	0.78113284515	2.62898451299	4.45494492347	-95.82559273030	10.09701235796	3.62505349679	4.13254085187	16.12616373195
