1024	Hz

N	L - Deltoid(uV)	L - Tricep(uV)	L - Bicep(uV)	L - Flex(uV)	L - Ex(uV)	R - Deltoid(uV)	R - Tricep(uV)	R - Bicep(uV)	R - Flex(uV)	R - Ex(uV)
1	56.10909520969	10.84033265938	-83.39812059252	-5.16841291523	-12.10009581786	46.86000856576	4.15094989890	-48.07698365919	-16.27045003171	-2.04189113517
2	29.46960528809	-1.29857110650	-81.54230623587	1.06472883236	-24.15143250870	15.62663688368	5.79879199205	-31.42243603722	6.58738784643	7.41528873728
3	18.54257494705	11.83540637527	-49.32082798606	3.55937863372	-36.41372672128	7.55061898957	11.46971619554	-13.97680507296	29.81240730605	15.13805607321
4	-3.92705825828	9.84127896284	-21.63986615304	8.26508170374	-35.10818833025	-8.68699292873	10.98014038991	12.70609587667	36.99783470448	25.01018097713
5	-3.49780839846	-4.16239316154	-52.32694403215	12.32896325256	-12.42050935363	-19.26462722685	-1.36474360352	40.99404949064	31.04331233177	28.83624068028
6	-29.28986901261	-15.99879453197	-88.44812253726	4.61316142828	15.55698176721	-15.18482411891	-12.36030778222	45.55646452907	-16.29234101632	17.40483398055
7	-24.17780206254	-21.00102907183	-73.81257284279	-0.09453199858	16.91326709358	5.00721060668	-11.00949492924	44.07977387786	-64.88576862357	9.89799805118
8	-25.92925757338	-26.15650704993	-43.77328918338	0.80700476504	13.47230215786	-11.58862793663	-0.76272400268	24.35940395395	-109.76060473337	1.93840345563
9	-56.33845905097	-34.18774579766	-43.19216836767	2.50161531301	16.52120845101	-43.37526056982	6.96302797780	16.85654800524	-90.63031276364	-9.22731785172
10	-106.15930701886	-41.02290871440	-57.25852846037	2.99218665931	21.33836079839	-7.36553516059	1.29807360892	8.58151525886	-44.67880897052	-19.80893103949
11	-124.67850612559	-42.46178518538	-46.35053176585	-0.83785200168	13.33796799174	21.52543298120	3.06681702435	1.59311299513	-39.85867272866	-28.02425916654
12	-151.99986012321	-44.12554801940	-37.52721140766	-0.87367469146	12.64440072151	22.03889194377	3.11358561555	-13.22850979571	-35.24749856320	-22.66877406851
13	-198.43336924889	-54.52307291886	-35.27237562429	7.81928895832	12.15382992071	5.17438288621	6.14856006716	-16.94112914017	-21.65081328185	-3.18722098543
14	-197.82326265302	-51.30201609734	-22.62797490279	19.12830197940	6.24010725924	-34.23849491502	19.23228552002	-9.86715101910	-15.01765183938	-0.60998017584
15	-111.62388155375	-25.44303878542	-9.00939700033	17.16502050805	6.89586034924	-60.74725643696	26.55553065865	-0.57316242271	20.24974880910	-0.92541853123
16	4.06475162408	-0.11741869432	-20.95227212680	13.56882432576	3.21309276894	-19.90943427905	9.32384001962	-9.49001730399	61.91547240336	-1.58813761019
17	124.55772767757	27.34363010645	-36.93912562581	4.38031428568	-6.18139763506	23.21506787148	0.72640374714	-25.83907740865	97.17988588434	15.46145459447
18	187.36465901537	44.03300474116	-21.62892120624	-11.89212546361	-3.34046224167	39.01882698632	-10.37065784803	-29.44721571490	73.82053280410	24.78927459475
19	212.29201100914	52.84836077402	-9.32981108160	-9.95571213469	2.18319163119	55.00568048533	-21.01894116678	-25.84604455680	66.51570162202	25.00918598197
20	179.85323105240	35.86345075565	-21.81102059524	-0.01492610476	8.75863858103	55.55297146547	-18.46657782741	-32.63742114032	66.56943572487	16.98988826721
21	100.20342307383	11.62843101618	-35.22063369378	4.63604849905	15.12512004508	-0.12935957386	0.10995564247	-28.49691896339	38.34118291172	7.68196871571
22	42.25144844461	9.02034303813	-32.58070205198	4.63903348454	19.96814335772	-28.51881103900	14.68181478757	-9.46116026224	18.29243949073	-1.18214753520
23	-22.23044378682	7.46106233332	-32.52199297331	11.45528767466	16.44856834905	-17.44165098361	16.38886318422	9.46812631938	15.72017406608	-35.31516478034
24	-68.45571962641	8.55564320260	-31.06918438804	7.97452020489	5.35250120355	-19.54722767339	13.45140616842	13.40065705106	15.02063682487	-55.65546469535
25	-76.00273175851	6.41026452426	-37.35307416198	-1.94039371870	-16.12118875613	-25.43408382895	10.00695874963	12.95486430564	9.87610597558	-38.80886991476
26	-64.57468425846	1.06074851077	-33.01554985060	-8.92481586540	-23.84793498171	-30.29601204970	3.18174796653	6.57146628731	5.29379212488	-22.14835013979
27	-24.65506371202	1.58117209854	-19.98107829484	-18.26656743447	-34.48726334399	-15.64852895929	-5.89083613621	20.37313911942	2.42200942665	-23.16631092645
28	-9.22321349667	4.84700383879	-11.93789851415	-21.68265530909	-38.48746029282	5.23010697939	-7.09388020635	42.47372512735	-1.79113257950	-5.98636330894
29	8.15189227585	-0.45872897811	-12.22547502751	-17.84764174048	-41.73139763908	-0.94532000282	-2.68868913232	30.12485978951	-4.71565411266	32.75185431217
30	18.66036840958	-6.45902310579	-20.18705974977	-14.62360320648	-27.36253501456	-2.11552664142	10.08755881290	25.30372855248	-10.50499310515	44.13748796136
31	11.78067727726	-3.33349673002	-32.43741183838	-9.07706212648	-17.23865669618	22.88868545573	20.89405836371	33.49119463294	-26.48786662351	42.05181226585
32	-43.06579525386	2.95337857492	-33.54094875514	15.73311009422	-9.04920007989	-10.18159349289	16.50876992047	28.68399332820	-32.31700869556	37.00977464644
33	-90.07046215157	-1.38116225110	-28.21929349266	41.97121329359	1.93840345563	-80.07755989063	19.67161079688	2.94044281954	-30.24924509500	18.12626220636
34	-71.94631540093	-2.94939832151	-5.58335862857	27.95858512173	10.57862820228	-47.06101504487	20.19601470625	-22.47274474722	-19.87361227115	-2.83297461384
35	-14.21711495203	-6.19333866803	5.15249135611	12.54787855361	14.89923759588	-11.85729735987	10.53733262998	-21.79907847127	-6.68391001433	-9.84724893382
36	38.66682126310	-8.12776200663	-4.77237320100	-3.78924051808	17.79191764730	-22.78917721134	7.02920061120	-24.38328601989	-6.59037283192	-15.90326735924
37	42.20990739653	-30.29302706420	-24.37532387657	-5.92267870896	25.71867426582	-11.63639206849	6.26100379418	-20.06267444428	6.80331870749	-20.72439859627
38	49.69621609562	-43.98524060929	-37.18590188245	-5.65699372570	1.38215738264	8.93178137705	2.32897001458	-10.09999734345	12.81057800588	-18.84171937020
39	38.40524227140	-39.36810083686	-38.72528159298	-6.18537816122	-18.38398668281	-10.38657886165	4.62161943267	31.95280991757	-4.12856059847	-14.99874584027
40	19.62360009822	-26.14954208379	-42.70756644686	-4.49076747687	-26.69185590610	-33.00659271212	9.65718958352	73.29414545043	-9.85421499097	-9.09198814493
41	12.63855512492	-9.53579144553	-32.75384430250	12.30309119630	-30.27014217544	-22.71156104255	9.74774178044	105.34048709538	-12.66231281646	-8.16159402420
42	-68.53980544576	-1.55231492041	3.68774310161	22.54936373884	-34.60368650616	-10.93187985146	3.07826028698	111.08504803250	-25.28880144302	-12.23642106532
43	-141.92760263396	-7.75062883701	4.43106313029	14.86242059281	-40.69254413599	-7.89093406512	-0.69704913962	75.12507619996	-52.13788185902	-15.73908006520
44	-159.08453989730	-8.36856938329	-14.39473577179	13.68325858861	-32.55085001507	4.75247166122	5.93859972258	52.90308987204	-74.20563084454	-17.39388794274
