1024	Hz

N	L - Deltoid(uV)	L - Tricep(uV)	L - Bicep(uV)	L - Flex(uV)	L - Ex(uV)	R - Deltoid(uV)	R - Tricep(uV)	R - Bicep(uV)	R - Flex(uV)	R - Ex(uV)
1	17.38343940252	2.73943770418	15.42563258658	-0.62490626248	8.16059902904	-53.12897559425	8.62330832874	102.97221531734	-0.89755648464	14.90421366270
2	9.81540690658	-2.14537881471	21.44582682209	1.60903414513	2.81108308373	-70.18453681527	5.70674730239	80.44473929010	3.72257065985	17.73320747763
3	-7.11502549008	2.22896509086	20.62986750970	2.57923093629	-5.32961467828	-62.19409286925	-2.43195992379	48.08792860599	5.48086594419	19.42483235823
4	-7.80212365524	1.41200955593	18.88450852625	4.46290543028	-6.46698361260	-59.59894037383	-5.35051121322	21.75231151657	9.27607697875	20.93137504636
5	-11.47096103050	-4.85595934077	11.59857897927	2.51057081499	-4.86889536890	-60.34524784275	0.01094581087	9.37657912731	15.26741526352	9.21836289525
6	-9.96242835204	-10.63037231480	1.09657120054	-1.39409827923	-6.24707277088	-39.35715589006	5.23209751522	-10.18059849773	14.87237163545	-2.74341823034
7	3.03547222194	-15.70922802828	-9.72186972417	-0.66868952726	-16.83664701097	-0.47365506476	5.80625500128	-24.47980709678	11.90904147240	2.96929986129
8	11.30105142326	-14.50120898232	-4.71067859134	-1.74237399797	-27.79738281318	-4.11562484309	9.62932753693	-32.69414022866	3.53848209878	16.46448936267
9	5.67167099536	-10.24129865772	12.93496222036	-4.92760499307	-26.41522543054	-23.72653684372	11.44235164653	-41.66671858943	-5.95551573136	23.77131599010
10	-25.07113097692	-9.05815558186	12.73097293777	-6.74560462399	-23.01804355503	-6.99536804812	3.63201900844	-53.60660818491	-14.73007532602	24.61215236358
11	-24.49597795020	-7.87700304183	-1.20602932838	-5.24403800268	-13.94297196438	22.04486191475	-4.85297435528	-56.85452987584	-14.58479512209	26.12466502269
12	-17.61529182271	-4.53256054675	-8.01631327477	-6.26299378450	-4.26687583625	42.49760501127	-5.85103305665	-24.84798367342	-4.01114189563	-2.45982224313
13	-32.82101302206	-0.27961569971	-14.20865749314	-7.87103252534	11.92993855284	47.53267766454	1.73043310137	23.65688063624	-8.03024429807	-48.87205025514
14	-41.84309457423	-2.47773351983	-15.13905106838	-5.03606764843	27.94863517009	40.80797230300	6.19035313704	26.10177795192	-12.69315984854	-59.77009699803
15	-31.91997289516	-4.49972325160	-13.10213559090	-1.04681748747	24.00217232412	18.00685296770	-0.09055170255	5.86297408962	-10.09601736280	-42.21997954055
16	-10.34453704298	-2.86183192834	-10.96969184969	-0.67764516561	23.03396565965	-9.37160415149	-6.89486535407	-17.44961203592	-8.86511124607	-29.58055597687
17	16.00526200054	1.46275826416	-6.71376205124	-1.04980274571	21.28064453288	4.64500400102	-6.71475704641	-28.27899974850	-7.70485524098	-21.31646872279
18	27.82076738153	0.85675840992	-0.56719200851	-2.46380249653	6.21722018846	18.27552348195	-5.53459950154	-34.04047560341	-0.43086689743	-10.89804674289
19	41.91101172217	7.19537789557	6.30876683504	-3.14940816895	-3.25090558542	22.07272396134	-5.37538772882	-55.22061689673	1.90855128233	-12.82749510567
20	37.01151588798	8.25612620177	11.73291314539	-2.23195021272	-10.66519932754	8.64320986852	-6.50778168732	-61.98513079284	-2.24886649426	-11.04332803782
21	22.71280478651	2.06776305506	16.05451862515	-1.86078783234	-14.84848956952	0.88362539316	-4.01313215871	-48.45909235012	-3.84994013258	7.29488504895
22	14.24373325467	-0.51445310539	8.18547609013	2.22697482778	-18.95714753720	-34.30416895983	4.70470807486	-39.53228813090	-0.75426586191	23.37428018970
23	-2.66107583452	0.94332980793	1.04980274571	6.05900341091	-18.47752277421	-70.29399501130	18.26457744414	-25.78633830096	8.30787031429	25.46791584652
24	1.06870915395	2.68669886924	-2.88571372152	5.52365400924	-14.35592768739	-61.59108215995	15.69529700499	1.55131978887	9.43727819630	30.19849597764
25	30.75623440700	2.01104383034	-12.37772128859	6.76650115893	-15.65250893994	-34.47930338268	-0.54032499118	29.40343156369	9.87013600459	19.25567008837
26	28.09491036918	-3.04890574765	-11.97969158403	8.25612620177	-12.92302227840	-5.74555538678	-7.55061898957	50.89901250797	8.21831365804	-1.69958579654
27	13.43349407347	-3.98925036552	-13.40861810338	7.99044176401	-9.08999815461	6.60131886973	-6.21622519330	37.43865247408	8.14766300090	-14.75992736293
28	2.53992562707	2.05084677352	-27.03615259881	5.97044229532	-11.09009608352	16.83266593931	-2.22498470108	25.25894940610	5.91969317796	-8.62529886457
29	-12.70360838876	6.73067806003	-42.10355637838	2.51554633631	-10.45125900230	29.00440795498	-3.51062005219	28.22924562631	6.61027437170	-0.10448273437
30	-24.30666484626	7.33269813818	-39.09346035163	2.81406834197	-1.85780257410	28.95465383278	-8.15761404354	31.19356969353	2.51256107806	2.39016685391
31	-29.48303772280	1.56425581701	-24.94948190813	1.74237399797	-1.40006865934	27.63717549979	-10.76868755258	39.05664116656	-1.96527050705	-5.38633376662
32	-42.11798380825	-5.67590027031	-14.77087340074	-1.69560554314	-7.99740727566	29.90196341680	-7.74465832053	47.84314233968	-8.69196845005	-3.71461015304
33	-62.86079199705	-5.69281627910	-19.14223191169	-3.73948694139	-11.64534702497	29.43626858610	-3.84098435785	57.89836271876	-10.16169249861	1.02194063094
34	-80.76316392655	-8.12776200663	-19.66066585008	-2.24787136272	-7.76157487482	20.23183889615	6.32269785834	65.32559139801	-15.67440101555	0.33732998778
35	-64.10214883601	-2.78123104681	-12.28916017300	1.88267936245	-0.60798998095	23.30661615456	12.44538641473	65.76342418212	-20.90251800461	7.05109214130
36	-37.22595480180	-1.71252182467	-8.46210656569	0.46668955311	0.03184235753	20.75922779101	9.49300338048	27.62424056266	-19.57309972966	14.04944517492
37	2.82476535823	-2.73545745077	-12.44041143891	0.22488665284	-9.07805712164	30.33581622025	11.12989916307	-12.01352469261	-13.35786898602	15.12512004508
38	78.49191290499	6.66997899103	-21.84286262248	-1.45579275252	-26.36348131802	47.59039174805	9.78555486966	-26.49383659449	-7.50385039837	18.94918757590
39	129.52127850743	14.53802598539	-20.79305980858	-5.11766379787	-29.14968815890	45.69975256066	-1.15528048377	-39.00987202985	-1.27070905991	22.67374904433
40	162.87266104583	20.33631993435	13.83152377803	-2.90263000306	-14.24547449620	36.05550009628	-9.24423495151	-55.69825385140	1.73441335478	9.68704271144
41	157.42464357958	16.90331605094	42.37919185877	-0.29255165965	-6.19234367287	0.20896546874	-5.62316116262	-60.30942365285	3.26384161355	-7.54763400408
42	116.78135170419	5.63012667427	54.30515152196	-0.45176343237	-16.27840999302	-44.96538939772	0.21394083664	-50.34177157620	1.56923120195	-23.66285278923
43	78.79739387628	0.55724127271	45.12161673045	2.33643302381	-0.29752704460	-79.02476772723	4.77535873199	-32.86628748402	-0.06666993494	-18.78400528669
44	33.43845552525	0.49654176050	42.16425544737	3.73650168315	21.51548302956	-76.81968388405	11.57668690366	-18.06556204636	8.53773219865	-36.98290977702
45	-22.24686120702	-3.88874794422	43.28670163625	5.68485577229	26.86997531444	-20.85077389209	7.69988026516	-12.33393822838	16.45652831036	-40.77413810342
46	-55.98806801288	-4.61017644279	19.70444781928	11.24134734943	27.24412186206	18.04665604725	1.44484698746	-21.30253660849	12.81057800588	-20.90550299010
47	-69.22852102357	-5.69878679558	-11.93491352866	10.96770185936	11.52892386279	24.73554049190	2.24190098261	-24.57832034601	10.58260818294	-0.59803927925
48	-65.54624903160	-11.63539598233	-21.96625075080	9.51389936992	6.06596892255	31.32889994581	0.46867971391	-18.45264571312	15.79480415837	16.21671592886
49	-45.07161385947	-17.62374928160	-21.47568104101	7.51877641683	6.48589015721	25.03804302372	-3.59420619196	11.26721940569	14.64151421043	24.06088140278
50	-4.03576993518	-11.87620444999	-21.29358165201	5.55052106066	7.30583108676	14.72311035987	-7.14960429953	27.42124627523	3.55241312208	20.66668451276
51	20.86022634614	-5.54654053450	-8.33075683956	2.90561498855	17.01476423730	-9.55867742530	-2.99318165447	9.90396802216	-4.79625526694	16.05153363966
52	3.16831444082	-5.32264916663	26.39631834042	0.80501457015	17.95709993650	-37.36302411362	-2.47474826159	-13.40463703172	-6.30976237571	19.58304968129
53	-0.04378324346	-4.93158497372	55.41664840002	-3.67679733656	16.94909019249	-64.93054776995	-1.88566462069	-24.54946330425	-8.04019534071	22.34636945141
54	13.39841831195	-4.45593991864	56.81074572463	-6.01323036037	12.10308080335	-73.43643848685	-4.16338815670	-29.63528507488	-7.98944676885	6.65704296290
55	-2.45882697521	-7.40832322564	35.18978447969	-5.54654053450	9.63430360375	-57.32221251486	-6.06497392739	-44.48277746723	-10.55474613635	-13.62156343345
56	-26.45403460593	-8.69992895686	18.79793740099	-3.98527011212	7.30782107709	13.45538614908	-8.07701288927	-43.50561802830	-12.26726809740	-12.32398718574
57	-34.51636913453	-3.73650168315	9.29199799238	-0.81098501844	5.23508250071	59.49346652247	-9.29597797303	-15.31418330922	-10.35274684408	-0.59604915254
58	-31.06197067310	2.27573354568	9.23129892338	-3.46086620275	4.21712225955	53.05334723379	-7.26105248588	9.98655916677	-4.57236362631	5.07288574250
59	-37.47422791519	-4.08676752858	8.54071718414	-4.22906301977	-1.14731997696	48.01827458052	-10.54280510338	14.69027224646	-2.22597983261	3.11756586896
60	-33.56905955051	-8.73475651510	9.00840200517	-3.95740806553	-10.51096307614	35.57388316095	-11.74684416868	13.65738653235	0.11940883806	3.73252142974
61	-19.96490962344	-6.06099394674	17.32124784078	-5.24403800268	-8.53375167249	9.20443187195	-11.54583987158	15.09427301300	3.03596971952	-1.26075829002
62	-0.77889390147	4.28180212746	22.11451812222	-3.33349673002	-8.42926899779	-23.13546389437	-12.06725879546	17.52026214756	0.60301466419	-12.07720874709
63	0.64356392193	10.11890443357	13.71112063520	-3.47877747945	-17.31527677879	-45.50671040688	-3.93352627234	24.26586568054	3.21209777378	-11.71201715595
64	-11.33587952700	3.08970382237	8.39145645406	1.04084703918	-20.39005403720	-49.00339834477	-2.80312257692	32.31203153773	8.65614589665	-8.52081564436
65	-16.84734320898	-5.59032414022	0.72341855708	8.50588962590	-6.12467854672	-16.77296186548	-3.83401884621	27.31576805986	12.16776094401	-9.18154480118
66	-14.87859035523	-7.08094417822	-3.74943771128	15.09128693651	8.23721965715	17.98496198309	-4.75247166122	23.18322584423	12.11104185567	-0.59903434260
67	-9.04920007989	-4.90571346296	-0.85576334657	12.61355368943	11.03039200969	9.45917027191	2.13542804483	17.91033079980	13.08024351529	6.34458993394
68	-12.77276600765	-1.43987160252	0.12935957386	10.27911065595	15.36493242658	-21.82594552269	9.16164380691	13.02352442695	8.27503274638	13.54792833632
69	-15.45249854700	1.32842341616	-8.29095376000	6.22617623594	20.62688252421	-43.19415835800	9.94377110172	48.02722953699	5.39628426376	16.52518843167
