1024	Hz

N	L - Deltoid(uV)	L - Tricep(uV)	L - Bicep(uV)	L - Flex(uV)	L - Ex(uV)	R - Deltoid(uV)	R - Tricep(uV)	R - Bicep(uV)	R - Flex(uV)	R - Ex(uV)
1	-27.14125550899	-12.56081458174	-12.50111050791	4.56937836807	-12.62151474174	6.40230401745	-2.72451168572	-6.22717123110	5.66495423251	1.36126084770
2	-23.91982992830	-5.64704322856	-0.11741869432	-4.78232424364	-14.42657779903	4.17333892659	-4.65495449816	-1.27966469826	7.21129890919	-0.50748755964
3	-19.26736346355	2.73943770418	0.53236441618	-16.67842968791	-5.20821544928	-0.86770424316	-7.32971260719	-1.96726063375	5.65898371602	-0.32439402783
4	-24.42134676690	-10.93386984179	-10.16069750345	-20.45971024468	-1.96427537551	2.02995023858	-8.62927884523	-4.42708287688	4.84899382912	-0.41594081079
5	-36.90890046571	-18.90938558734	-16.31025311127	-17.07745438763	-4.23304327317	10.72490449237	-8.45016553273	-6.04507238761	4.31861967602	3.00512241469
6	-58.34850638601	-11.49310076389	-12.48916947494	-23.61707864769	-9.18452978667	10.82640163609	-4.78829476012	-8.05910188532	2.89168396525	9.04521955373
7	-58.72128917930	-9.40941614971	-6.28389031945	-31.86225881166	-9.32782109128	26.58239771007	-2.73645271869	-8.38847092307	-1.56425581701	4.80819575440
8	-34.02529974515	-7.23418543446	-2.34936905194	-24.49473420624	1.30752674485	54.94597641150	1.06472883236	-4.60619591663	-8.07999842026	-5.26991005894
9	-20.30771164139	-6.50678669216	3.12950662917	-15.76694211179	7.21428389468	68.61829223531	6.48987068337	1.50156621218	-7.76953538163	-0.87367469146
10	-10.89157927432	-7.13268829074	0.68560574061	-5.95551573136	1.58614748349	67.29484393134	8.51982064920	-3.24792059993	-8.44917053756	2.34240354029
11	3.41795376331	-7.43618581773	-1.93641332892	-0.01890639972	-1.64386170337	67.19931566761	10.64529833326	-2.89267923317	-8.16258956486	1.44882724087
12	22.27708854912	-4.39424530897	-3.18921124851	-1.80008821785	-0.12736943011	70.23429093746	7.37946618388	-1.42992083263	-8.79844166059	-0.49355653635
13	28.50326423956	1.49957608548	-5.57937810241	2.02696511671	-0.87765501305	42.17918473884	2.49763478686	-2.35633456358	-4.52559503511	3.12652137093
14	12.65074490668	3.11856086412	-1.84884693575	17.78992765697	-5.62216616746	3.11458061072	4.00815663739	3.82406807632	-4.03104343541	-0.97318204941
15	4.39001630678	5.96148624785	-0.37315264346	15.33607538482	-4.81615680671	-56.19778069967	4.65296450783	5.50773299561	-4.22707302944	-2.20508329767
16	3.91014197674	13.58872641104	4.31662968569	7.67301321373	-6.45404758447	-66.80327704438	4.52559503511	3.18622599027	-1.34533956132	-2.91954628459
17	-10.01840119401	3.63301400360	1.48863018405	6.26100379418	-5.87690511292	-41.03285866604	3.71162489480	-5.31369366466	0.45773388067	-5.02114162997
18	-1.79063508191	-2.04985177836	2.91755602152	-10.98163288265	-8.35463835999	-19.73430203821	3.11458061072	-10.65524937590	4.10169354704	-2.05184190506
19	3.75466170864	0.65774369402	5.65599873053	-21.75430150690	-5.27588057543	-29.80444734474	7.86904253502	-4.65097451751	6.13661957969	4.15940790330
20	-11.11211253352	-0.81496534004	4.71963463882	-12.94391826784	0.65077818237	-42.97723195627	11.72196819859	6.74759461432	4.89277743483	4.53355554192
21	-6.07641746278	-0.53435457698	0.95626576787	-14.13999737183	-5.59828464703	-41.84683017010	8.33871734637	12.06029273831	4.10368381012	2.82799936527
22	0.38310337925	1.68963516303	0.59704421589	-6.60828438137	-6.64311193961	-31.79658476684	2.71456091583	6.15652057397	7.22124940633	1.11846279883
23	4.79911587803	0.10348766250	2.69664963913	-1.61898491502	-8.14567301058	-18.38697166830	-1.72147746302	-2.98621614282	7.13268829074	-2.56928016641
24	16.94784644853	-1.37220661275	1.19209830509	-3.79819629281	-9.86715101910	-3.70366411524	-0.25871914772	-7.75460936317	3.86984139961	0.19503444545
25	27.76865014582	4.44598914875	-4.73356566211	0.94731012952	-1.84685667267	9.56464848728	0.97915249770	-3.84994013258	4.78431423397	3.03895497776
26	-1.37730637209	3.76933897830	-3.38822582803	-5.77938794985	4.14945713341	11.13089415824	1.76327053291	3.89471846070	5.47091490155	1.75132963632
27	-32.43231248817	1.06472883236	2.33145750249	7.33468812851	8.79048060828	9.27806696908	3.73550668798	6.39832349129	1.37021648605	1.24185188178
28	-52.00491472024	4.32359519734	3.47778248428	12.77376100282	5.79132898282	29.02430785825	1.16224599542	1.43191095933	-2.28269905733	2.25284674766
29	-68.16441297218	1.23986175508	4.75346720189	-8.30090480264	2.61107323629	51.07115976332	-3.99621587717	1.72147746302	-4.45295466039	2.00606858177
30	-74.59694324074	-7.93869765149	-1.49758582240	-18.66559213419	-1.11249235054	62.81104223887	-5.59828464703	3.57131939394	-10.39851989462	-1.52445287382
31	-55.23467338542	-9.93680613558	-6.30080632823	-7.07298367141	2.25682713745	65.62510676233	-3.45887621242	2.41703390533	-14.99376977345	-2.56729017608
32	-25.95239121093	-11.07915004572	-7.26801799753	0.25971422812	9.52484540773	58.96209546495	-4.03601868397	1.06970421730	-13.54593834599	-1.90457102893
33	14.13987299744	-6.30180132339	-9.84923892415	-0.34230533863	11.22244135032	24.17829956012	0.29056149885	-0.19403936505	-6.90680638704	-0.54928066362
34	41.50713533003	-5.04004817459	-8.77256960433	6.63714142313	13.43548515480	-5.40324977540	5.16244239875	-2.84790090504	7.15855980150	-1.38116225110
35	57.73143918802	1.68864003149	-6.28488531461	14.19074539819	14.45045986496	-26.08287086180	2.49564479653	-3.49171350758	14.08228219733	-1.80307347609
36	68.74342160517	28.69792544250	-2.35036404710	15.63260685466	7.13865826172	-28.77155944862	-4.52758529819	1.28464008320	12.09711083237	0.43186196078
37	52.37731784432	21.67668533811	0.26269945227	12.58668663800	1.90059077552	1.18413766190	-8.36259941231	0.88959584145	4.85197936011	0.57515254941
38	30.54005425164	2.17622611955	1.76227553774	9.10890415372	-1.61798978348	27.67498968002	-10.06019535490	-7.23219544413	-12.93695330169	-3.30961493684
39	28.92131931279	5.82317101007	2.33344776556	2.19015714284	-11.82147535198	15.92515943485	-6.22120071462	-11.79162331506	-11.52295280081	-2.94740833118
40	43.59181603037	10.47215499174	-0.21394083664	3.79720102489	-4.92561445724	-11.09905213100	-1.46474839087	-15.91620338737	-6.69684604246	0.49554669715
41	39.65493001285	11.55678590938	4.39524030414	6.12069802057	6.63117090664	-58.15807391252	12.89615522697	-11.11994812043	-4.56340785158	0.82392097839
42	24.17568769782	13.73301161980	8.49991910942	5.83411704787	1.19408843179	-89.88500901791	15.94506042912	9.77361383670	3.19518149224	-4.42409761864
