1024	Hz

N	L - Deltoid(uV)	L - Tricep(uV)	L - Bicep(uV)	L - Flex(uV)	L - Ex(uV)	R - Deltoid(uV)	R - Tricep(uV)	R - Bicep(uV)	R - Flex(uV)	R - Ex(uV)
1	86.53932032413	22.72599065443	9.33279606709	-7.98745623302	8.17254006200	29.68503701507	-2.55037389454	-124.16031438997	-8.09193890773	-21.89162174951
2	69.69272117952	22.91654750232	0.98910319940	-1.57420658689	0.40101469005	-34.05938269352	4.03303369848	-162.49154298604	-7.65311167395	-76.43260458131
3	53.35013072543	18.50090734257	-4.59624541949	-0.57415748606	-5.69281627910	-71.09403221905	9.96068711051	-170.45909767928	-5.79729895380	-101.89454827485
4	38.92131309627	17.49787257437	-9.12482571284	-1.53042325393	-13.34990793370	-87.71375501030	17.66056737566	-143.61201598163	-0.45076836902	-70.82337171448
5	21.67544159416	18.06904562044	-14.87834160644	0.99308352100	-29.21337221339	-42.40009112122	9.93481505424	-106.32561085963	7.49588989156	-34.23252494404
6	6.69659729367	13.22801229813	-15.73609507971	3.11358561555	-43.46979383840	27.38442709016	-12.10308080335	-78.33667620341	10.68908139347	13.13298262298
7	-36.44929998038	4.64948147926	-18.66459713903	0.73535945367	-47.95260053571	-6.94163394527	-9.57061845826	-41.11594512622	10.22139657244	41.56522035471
8	-111.11589288258	-9.16860877305	-13.31309093064	2.11950689483	-36.97992479153	-18.79296242517	-7.56952553419	2.22597983261	14.00765210504	58.35609540614
9	-144.44141427475	-16.38189821807	16.48140537146	1.88765474739	-31.72792355453	-25.78235832031	-12.28318911102	51.01991314838	24.06685137377	64.26882361796
10	-154.57300489665	-17.71181399060	44.99424425746	-0.16518223806	-16.79684393141	-69.96363043289	-12.34189928069	53.14887549753	24.87485072484	47.62721093311
11	-158.50229316602	-19.66066585008	37.27446518004	1.19010817838	4.39922083029	-53.84542448024	-13.92207597494	34.28426905656	20.81893186484	-11.01048992441
12	-115.32132722197	-11.27070188876	17.85261671629	0.61396042924	30.22038805325	13.74992762859	-2.14736894142	37.60582475361	7.20731838303	-75.78481036162
13	-5.72441010305	22.75882767684	9.53280536903	0.54729053692	62.77123806831	61.09354530200	4.58330939136	48.39739828596	-11.47618475511	-84.75937871271
14	37.76105709118	34.91862865954	19.06262575258	2.01601921528	77.62669478598	72.63042694410	8.54071718414	44.06236146250	-14.87038055412	-57.02667713119
15	38.66458252399	17.47349410185	24.68479355654	5.36245224619	67.23115551284	55.71218378369	17.09636038674	35.17038207400	-13.05437145903	-15.44851856634
16	60.35793403109	7.02969810878	-5.20722045412	1.97422614540	56.18882574320	24.78529461409	19.81291102015	18.84370936052	-11.24532733008	36.35999261843
17	60.19275174188	1.54883216459	-32.53194292495	-1.87173359740	39.66662120602	37.74314281422	13.38075605679	8.25015568529	-10.58957424008	52.95582897972
18	46.99011727544	4.37285127645	-41.52243556267	-5.99730880125	35.58582528492	26.61224974699	14.08327719249	17.79291264246	-10.51494305679	47.23117230989
19	23.19417297304	3.57629491526	-39.72234529920	-9.79948589296	29.65816996364	26.75952212325	14.19970144567	26.22864856331	-10.95775081672	38.62975332925
20	-6.66176973543	-6.04905291377	-47.09882922510	-10.70301241677	-1.09557613719	37.90832510343	13.60265743433	30.43084480440	-12.24338603146	27.02023049418
21	12.02546572557	7.22174744941	-44.49770239468	-9.27806696908	-52.75184187914	27.96953006853	13.83550484968	34.87434701074	-12.43344538177	0.88561558805
22	37.96802917726	16.87644899952	-35.55796323833	-11.00252996310	-92.39258884689	22.49264465050	9.90297302700	41.25177505810	-9.22731785172	-31.56274126532
23	42.09684016102	5.79729895380	-12.62947470305	-10.88212572927	-97.64160728041	29.07804196110	8.05611635433	34.83205535227	-5.22513200357	-66.76944284480
24	46.53859894382	-7.00034302394	-7.93770265633	-2.49663979169	-67.16249648254	19.08551282335	7.74863884669	29.24173175756	-1.85183205762	-84.49966751895
25	31.70802365126	-10.82043057410	-21.08063523094	4.52659003027	-33.45537262504	-9.30194903502	3.65391053854	30.31243165190	2.61704375277	-66.72963867425
26	28.75165954535	-7.66355966867	-27.50085025234	6.57942733962	-19.60892173755	-42.54735913347	5.48385092968	31.20252465000	5.64306270240	-48.29092507543
27	13.95466424856	-8.73624955335	-44.36436431473	8.40737746768	-12.62549472240	-29.17158023451	2.84690590988	22.06028652179	8.84720024212	-30.40248526023
28	1.79411783774	-1.09458107384	-37.54114570396	9.71689474836	-9.20741685745	-9.10691416339	1.32543815792	19.64922122369	9.21736790009	-14.53305100957
29	-53.04339728215	1.50853172383	-1.02194063094	7.89093406512	-13.35985897634	27.67896966068	-3.59619618229	31.83041678441	9.92984007843	1.12940863207
30	-84.18273537525	-5.91621069489	5.58534861890	4.16239316154	-14.19174039335	30.19451599698	-7.85212652623	27.46005326862	8.52579116568	10.81346560796
31	-99.18148448852	-11.89262296119	-8.27204721539	3.26185162322	-14.74201635898	12.11999681214	-1.83491591246	4.84401885330	4.47285620017	11.86028343637
32	-75.28503476456	-7.59937757110	6.13363404870	2.20508329767	-15.04153390531	-0.22289650909	8.04616585719	-3.45489568626	0.67266978066	7.37946618388
33	-26.48886161867	1.82894539597	15.27040024901	0.43584228238	-11.74186919286	11.71002716562	4.87387089022	-10.33682583046	-4.04994998002	15.74306004585
34	4.10940557781	12.96481534828	-3.97531934223	-0.05771427102	-9.12084518669	37.94215930301	4.53256054675	-12.64639180284	-8.31981080176	19.05367079611
35	31.99982780306	29.82534224318	-18.82480445241	0.71247272384	-6.14955506232	65.50967859532	5.88387062456	1.85481731586	-8.17453005233	5.18930945017
36	55.24972486928	30.76867402855	2.59316195959	3.88277742774	8.34269787253	40.45372347665	6.00526985356	1.26971406474	-5.05198920755	3.53947709395
37	72.58291156102	21.73738440711	34.27929189873	9.31687505347	13.79968175078	-24.59623025895	9.99750520457	3.93352627234	-3.92656076070	15.57091279050
38	70.82660544876	16.43165124926	61.92940669967	10.14577148499	0.95527070452	-70.75371768901	10.30597770737	-2.61007824113	-3.81610756951	33.29317532133
39	75.94924640445	21.19506840279	64.07577710016	9.61042153782	-1.44186172922	-68.43320567882	0.13632509403	-24.23203366297	-2.63495502947	21.24780751047
40	96.36940122736	25.43806380960	49.17554560012	7.79540689239	-3.06781201951	-8.28498324352	-7.45708235267	-48.39441330047	-3.68475784337	-3.74645245303
41	73.28991235697	15.90674984231	26.79633912631	5.60624515384	-6.68092448334	15.16492312464	-4.15841290813	-60.80895050112	-2.00805870847	-9.64126856990
42	7.26229622984	-0.86173379486	6.73664857651	6.20328916517	-5.44106286463	4.65495449816	-3.63997951525	-50.91443493301	1.84188142410	-13.04541541156
43	-26.45652209384	-8.72828850103	-11.95879559459	6.48091463589	-3.89073793455	-35.72115553721	-4.64301401070	-14.33503169795	0.55823633607	-17.79689262312
44	-30.95201497949	-9.23876138711	-32.04933317647	7.42822476541	0.80103431674	-82.57319977765	-2.22498470108	14.80719399722	1.83491591246	-18.71733624671
45	-20.81818561847	-4.91715645285	-37.58990483099	5.34255070641	0.07662067074	-108.44710638103	-5.42116132486	26.75354997026	6.02815637883	-25.20521530325
46	-4.02258543101	-1.13189632455	-31.76175557210	3.80317154138	-0.31344819459	-93.72797709282	-5.91173267115	25.99430974622	6.77048113959	-28.75464453084
47	-7.08567095075	3.76834398314	-25.74255633175	6.88989037825	-0.66172401561	-32.59861414693	-4.88382138736	7.04064360108	4.69276758739	-19.49747355120
48	-32.74041186779	10.42538694604	-22.16427006241	5.11766379787	-3.07278754083	12.29513014399	-4.79625526694	-15.57290278083	9.14771223811	-14.62758318714
49	-72.46723464522	8.71286498499	-14.00964209536	4.94054102120	-6.62122040950	25.59926611816	-12.35981028464	-45.96792557733	14.64350420076	-18.37801671183
50	-86.58111012100	2.66580233430	-2.79814705560	3.38126031639	-11.62942601135	52.22345580711	-21.58016207921	-83.03890115437	14.82560249875	-11.71997820826
51	-69.66635380768	1.35529033121	-1.85581244740	2.05681729000	-28.19043645091	86.82813949044	-26.48189665252	-104.33994090609	11.80356434803	-1.01398005594
52	-34.28501530293	4.51862952346	8.47305205800	0.87665988151	-40.32934035317	91.15670884534	-28.17252653797	-110.63925528708	9.93979112107	3.04492549424
53	36.90454517986	17.58941976645	40.72637397156	2.18219649965	-34.26536196644	88.57947062689	-22.09959101276	-110.77309086462	9.87212599492	0.10149751875
54	80.12482216091	22.99067900602	57.79984946953	1.49758582240	-31.09306645397	38.07549738296	0.18607877301	-106.30720344911	6.62818592115	-1.88367449399
55	111.67911251336	24.55344328491	48.99842336895	3.18025547378	-17.63270532907	-12.19363300027	14.04944517492	-70.42335311060	0.74531015538	-1.42295532098
56	98.32571882357	19.51339565582	25.74753130757	2.96034408656	9.13179122449	-53.59267825262	10.66718931787	-20.94878746172	-4.87685587571	1.02492588918
57	100.69722869991	16.87097652612	0.96223621617	-3.47678748912	30.80549103161	-61.30051738808	-1.45280749427	4.39474280656	-9.62932753693	4.73356566211
58	88.48045988008	25.98087512950	-21.87868463038	-2.39613737039	16.99386824786	1.18811791531	-15.81371124849	-12.77077601733	-9.27707197392	4.78928975529
59	33.97504812538	24.47831460403	-30.88708718105	-4.80919129507	-1.61301439854	15.57887384281	-18.98899174646	-22.01003490201	-8.13572251344	4.45693491380
60	-17.56578644930	12.44090893650	-31.71399362224	-6.13064906321	-10.79853958950	8.65316091116	-2.20209803943	-6.16696911419	-11.06720901275	9.12781069833
61	-28.89221352225	4.07582176353	-27.35557004841	-7.62624462253	-14.84052851721	3.12254111753	13.19567168230	15.52314974964	-11.51300284917	14.11611530590
62	-31.33835239987	5.54106751560	-11.18263827076	-6.47394912425	-20.54230138928	-25.68484224825	18.88649851657	32.67722531088	-3.37628506782	7.73271728756
