1024	Hz

N	L - Deltoid(uV)	L - Tricep(uV)	L - Bicep(uV)	L - Flex(uV)	L - Ex(uV)	R - Deltoid(uV)	R - Tricep(uV)	R - Bicep(uV)	R - Flex(uV)	R - Ex(uV)
1	2.50018473471	5.74157486063	29.85220929460	-5.08482622996	7.19239236457	43.25784241249	-0.49654176050	40.40347185687	-11.91202645789	18.67852707132
2	17.00176711297	11.16373118065	-1.30454162298	-8.03123983873	14.81266647062	44.64298478062	2.55136888971	25.09724959997	-6.72570308421	1.86178282751
3	31.06458253540	13.12800655616	-27.01824050386	-7.34463862565	15.48633165557	82.43190173638	-1.22991112156	0.70102939302	-2.67873836243	-35.40671088142
4	14.48634515106	5.70674730239	-44.31660018286	-6.41424505042	11.11895312527	67.11771733616	-6.06298393706	-21.28313420280	-5.31568365498	-41.98116324522
5	-18.11152274950	-3.51460030560	-52.59163456575	-5.13955532797	6.27393927681	9.78953485032	2.05084677352	-17.93769534881	-9.57459843892	-32.04336320549
6	-24.60189038495	-0.39205901760	-58.56108186591	-4.38628480216	1.00303429089	2.73247219253	11.88914047812	-0.62888658408	-13.04939648321	-25.80226040559
7	-28.28123848762	8.50290464041	-56.17191082542	0.23284724488	-4.32857044591	12.05034169567	15.17487307627	-1.51549723547	-9.01238198582	-18.01481402001
8	-28.69263843969	10.63037231480	-40.03380496950	3.58226515899	-6.91277690352	-12.32100220025	13.51608521807	-7.14512627579	-1.02194063094	3.25090558542
9	9.34280929693	13.09815451924	-25.21317744657	5.86595907511	1.35728045792	-20.97217203008	6.49783119018	-10.56718466690	3.48375300077	33.46432758151
10	31.56653577539	4.59724041466	-15.32413435186	8.60042180347	1.78217694115	-49.69397735650	9.73580074747	6.76401312552	4.88581192318	53.62451809785
11	34.86676017262	-8.13273698245	-11.54782986191	8.36060887648	-2.29762521217	-80.37210464315	14.14895232831	27.42273876798	10.21045053464	47.95459052603
12	12.01389781579	-11.19258822240	-9.01238198582	9.73978072812	-5.29478712004	-68.72177609635	6.93466843363	21.87768963522	11.25925835338	31.37666407768
13	-12.54420950895	-13.02650941244	-8.53673720349	7.71978180493	-7.64515116714	-45.79926080506	-5.85998910413	5.22115147741	9.64624463672	-12.81157300104
14	-50.08442131394	-14.91416470534	-7.22124940633	5.53858002769	-10.43931796934	-5.00323062602	-15.21766114132	-8.85068272519	8.97357444693	-69.42827939471
15	-91.80033106777	-12.90212519796	-3.75739821809	4.55146709137	-12.22746501784	39.10440529843	-18.83972937987	-18.58250349201	7.41926926344	-77.06049889774
16	-65.78127299887	-0.21991128494	5.37837325981	2.01601921528	-15.66743495840	57.56501315486	-18.50040984498	-26.93216687618	7.56355501770	-35.07535130785
17	-51.77679462293	-1.46972377581	4.59923040498	-1.32444302638	-21.15128643358	55.28430095122	-13.73997767695	-32.71304731878	8.07402790378	7.22423493732
18	-1.92018124294	-3.02900420787	-7.11179175580	-3.91860025389	-20.17710979814	33.70314605885	0.49853192129	-16.08188317416	3.17926047862	21.52742297153
19	88.78569646659	14.05143516525	0.60699491760	-2.47176300334	-13.25935682779	-20.54628136994	14.19970144567	-3.24294507861	-2.89964474482	19.11038988445
20	134.04090438980	17.48344405349	28.05212121313	-4.55743733510	-6.33364389614	-41.54631544660	16.40478419784	-11.35876550677	-8.82331817618	19.31437916704
21	136.32975984333	7.73968279921	41.22590081983	-3.03994997292	2.95636383316	-18.34517750742	16.33114910071	-8.46160906811	-8.55962372875	21.34234077905
22	130.72625256270	5.49280643165	25.76643839769	-2.38917185874	8.55564320260	-0.22687679658	16.01073556494	3.03497472435	-11.50902177751	16.08039068141
23	94.40239179716	6.23015621660	10.59554421107	-2.70162488770	6.60131886973	0.75227566702	9.99352522392	6.01472285311	-13.37180000931	2.22299457437
24	84.27478115591	6.88690484726	1.47668928746	-4.50768375841	-0.99805890594	-12.57574060020	5.07985125414	8.03223483390	-15.09427301300	0.83387174827
25	53.53770040581	10.14676648015	-12.12198789347	-5.54355554901	-6.81127921431	-16.16795680183	0.51246294459	19.25417759563	-15.03655783849	14.17979936039
26	25.90562425624	12.60360264679	-12.70709087184	-7.67599819922	-10.01541620852	-7.52275694298	-2.40907339852	25.30124106457	-8.61634281710	20.27164088470
27	16.19606759721	9.63430360375	-11.38165257754	-7.34662916148	-9.04820508472	16.35304117632	-7.94068764182	28.84071815852	-4.17234393143	16.97297116742
28	-6.01708596663	2.02198973177	-13.51310023258	-5.65201820438	-5.06592023085	45.38929224954	-13.05934643485	20.84828640418	-0.02288669361	8.55862873359
29	-26.31161283110	-1.63789132326	-16.30328705412	-4.07880702177	-2.09263997978	44.75841294763	-11.75878520165	-2.89218173559	2.59117196926	3.22901405531
30	-48.20895580280	2.42598968006	-9.10790915856	-2.16826547636	1.32046277298	50.50197888958	-11.87421445966	-20.34428207767	5.23707249104	-10.88013573894
31	-61.21705562271	3.43499441924	4.17831444791	-0.78511309856	9.32782109128	29.95171753899	-9.93979112107	-25.18979287821	3.83700410445	-34.40069221873
32	-53.12462030840	-2.28966443260	6.77844164640	2.67575310419	13.53001624137	-45.03106344253	-1.21100471333	-16.51374489628	6.98442201032	-27.83818197890
33	-59.35428066392	-6.43315104953	3.80814706270	3.97531934223	7.59340705462	-97.99883672823	5.86297408962	-2.79963982110	10.16965245992	11.56872694235
34	-74.51932488994	-15.15497208200	-2.59415695475	0.10149751875	-3.99920113541	-96.52215044104	16.81276494503	2.28269905733	8.10288494553	34.69523478925
35	-73.95250931173	-17.25557270496	-2.37424584028	1.17319189685	-6.30080632823	-60.49849019000	21.02491113776	1.84237892169	6.32568338933	27.90982599470
36	-67.01547721908	-18.93625263877	4.63604849905	0.66271907896	-7.71381128845	-16.43861730641	10.06616532588	-8.93078638188	9.96466818216	-1.18811791531
37	-32.68804588329	-13.04541541156	10.11591944808	0.59007870425	-7.88993906996	5.10074778908	12.53195753999	-11.58464795597	9.57559343408	-32.32695864719
38	2.21777044064	-2.57624567805	13.21358377725	0.01592117876	4.94551599702	2.88770371185	15.87441031749	-10.70052492886	1.33240366957	-60.38107203266
39	35.09139778687	5.34752568223	12.59763267581	-1.38713276758	17.84266567365	-3.60614695218	9.55370244948	-6.60131886973	-4.92660999790	-53.52600921264
40	49.72432907301	9.03029353527	8.54569270546	-3.91063947433	15.76495212146	-8.24319017364	8.38250040658	-10.84729762553	-7.82724946513	-13.66733648398
41	20.53483892555	5.36842221717	7.54763400408	-5.26593007829	11.49409575906	-5.74953591294	9.50394832728	-9.15219026185	-12.63942574569	9.98854915709
