1024	Hz

N	L - Deltoid(uV)	L - Tricep(uV)	L - Bicep(uV)	L - Flex(uV)	L - Ex(uV)	R - Deltoid(uV)	R - Tricep(uV)	R - Bicep(uV)	R - Flex(uV)	R - Ex(uV)
1	33.69244767883	0.00696551591	6.78739769387	10.46618502076	-1.67570400336	-60.47858592271	2.45882697521	-59.37903335063	11.12094311560	-44.39919350947
2	20.01118126256	-0.88561558805	6.61823487851	11.29657394503	5.95850126235	-33.48820964745	-4.56042259334	-56.90030401738	10.09601736280	-19.48553360924
3	5.21418596577	-1.80804886103	4.93954548053	10.25274110211	3.84197935302	-12.06029273831	-11.57668690366	-57.30430260191	9.56564348245	-7.16652085381
4	-0.38683488387	-4.66689553113	-1.77819668774	4.67435854036	11.44633271819	4.47783144874	-18.39891161027	-52.88716994942	9.22035288558	-3.51758556384
5	-4.73878938672	-11.79858828121	-6.10577200211	-4.94352600669	1.15229536191	13.41359307919	-19.89052718893	-42.26674867726	7.63918065066	0.87865007640
6	-20.77887894549	-15.54006575842	-1.36225584286	-9.17955481086	-10.30995877903	5.45101336177	-19.43577948704	-25.16441831953	4.38429453909	9.25219491282
7	-27.04137632342	-14.66937625702	-3.12353638544	-8.55813123601	-11.53887381443	-26.54060573119	-16.10128667085	-2.79914232351	1.73938873972	15.37388847405
8	-21.34706700607	-16.44160229190	-12.20756402356	-3.03746248501	2.20408816613	-35.16590459576	-18.03471501428	-4.84998882428	-1.50753659229	11.52792886763
9	-9.07880336801	-15.79082417772	-19.91639924519	-3.78824552292	10.68808639831	-12.79067701160	-0.39703440255	-5.59330912571	-5.22712199390	6.57445181830
10	-11.71649463418	-15.01964182971	-21.62394623043	-7.95959418643	-9.71291367670	8.98750547023	15.12213505959	7.69092421768	-9.24124887502	14.70818434141
11	4.21164924065	-5.60823514417	-12.63743575536	-5.75202340085	-9.98854915709	8.19542658727	17.92724680858	26.01918680731	-11.67022408606	-3.20314227180
12	18.01655526154	8.18746608046	-5.39727980442	1.43638884670	6.06895445355	-23.65091066526	10.55474613635	42.28067860955	-13.76982971387	-11.70505109880
13	0.76297275147	2.64391080420	0.66968459061	-0.05821181122	6.16945660210	-11.44931770368	2.84193038856	25.30472354764	-17.42274498449	-1.00004903264
